  -1.829375E-008  -1.530022E-006  -1.571414E-005  -4.482892E-005  -1.164961E-004  -1.829375E-004
  -1.898078E-008  -1.587484E-006  -1.630430E-005  -4.651251E-005  -1.208712E-004  -1.898078E-004
  -1.969362E-008  -1.647103E-006  -1.691662E-005  -4.825932E-005  -1.254106E-004  -1.969362E-004
  -2.043323E-008  -1.708961E-006  -1.755194E-005  -5.007173E-005  -1.301205E-004  -2.043323E-004
  -2.120061E-008  -1.773142E-006  -1.821111E-005  -5.195221E-005  -1.350072E-004  -2.120061E-004
  -2.199682E-008  -1.839734E-006  -1.889504E-005  -5.390331E-005  -1.400775E-004  -2.199682E-004
  -2.282292E-008  -1.908826E-006  -1.960466E-005  -5.592768E-005  -1.453382E-004  -2.282292E-004
  -2.368005E-008  -1.980513E-006  -2.034092E-005  -5.802807E-005  -1.507964E-004  -2.368005E-004
  -2.456936E-008  -2.054892E-006  -2.110483E-005  -6.020735E-005  -1.564597E-004  -2.456936E-004
  -2.549208E-008  -2.132064E-006  -2.189744E-005  -6.246846E-005  -1.623356E-004  -2.549207E-004
  -2.644944E-008  -2.212135E-006  -2.271980E-005  -6.481449E-005  -1.684322E-004  -2.644944E-004
  -2.744276E-008  -2.295213E-006  -2.357305E-005  -6.724862E-005  -1.747577E-004  -2.744275E-004
  -2.847338E-008  -2.381410E-006  -2.445835E-005  -6.977416E-005  -1.813208E-004  -2.847338E-004
  -2.954271E-008  -2.470844E-006  -2.537689E-005  -7.239455E-005  -1.881303E-004  -2.954270E-004
  -3.065219E-008  -2.563638E-006  -2.632992E-005  -7.511334E-005  -1.951956E-004  -3.065218E-004
  -3.180334E-008  -2.659915E-006  -2.731875E-005  -7.793424E-005  -2.025262E-004  -3.180333E-004
  -3.299772E-008  -2.759809E-006  -2.834471E-005  -8.086107E-005  -2.101321E-004  -3.299771E-004
  -3.423695E-008  -2.863454E-006  -2.940919E-005  -8.389782E-005  -2.180236E-004  -3.423694E-004
  -3.552272E-008  -2.970991E-006  -3.051366E-005  -8.704861E-005  -2.262115E-004  -3.552271E-004
  -3.685678E-008  -3.082567E-006  -3.165960E-005  -9.031772E-005  -2.347069E-004  -3.685676E-004
  -3.824093E-008  -3.198333E-006  -3.284858E-005  -9.370960E-005  -2.435213E-004  -3.824092E-004
  -3.967707E-008  -3.318446E-006  -3.408220E-005  -9.722886E-005  -2.526667E-004  -3.967705E-004
  -4.116714E-008  -3.443070E-006  -3.536216E-005  -1.008803E-004  -2.621556E-004  -4.116712E-004
  -4.271317E-008  -3.572374E-006  -3.669018E-005  -1.046688E-004  -2.720008E-004  -4.271314E-004
  -4.431725E-008  -3.706534E-006  -3.806807E-005  -1.085996E-004  -2.822158E-004  -4.431722E-004
  -4.598158E-008  -3.845732E-006  -3.949771E-005  -1.126781E-004  -2.928143E-004  -4.598154E-004
