   0.15202670E-05   0.31219770E-06   0.99999817E+00   0.88551841E-33
   0.15557144E-05   0.31947706E-06   0.99999812E+00   0.97104111E-33
   0.15919883E-05   0.32692616E-06   0.99999808E+00   0.10648235E-32
   0.16291079E-05   0.33454895E-06   0.99999804E+00   0.11676634E-32
   0.16670931E-05   0.34234947E-06   0.99999799E+00   0.12804354E-32
   0.17059639E-05   0.35033187E-06   0.99999794E+00   0.14040989E-32
   0.17457410E-05   0.35850039E-06   0.99999790E+00   0.15397057E-32
   0.17864457E-05   0.36685938E-06   0.99999785E+00   0.16884093E-32
   0.18280994E-05   0.37541326E-06   0.99999780E+00   0.18514746E-32
   0.18707243E-05   0.38416660E-06   0.99999775E+00   0.20302886E-32
   0.19143431E-05   0.39312403E-06   0.99999769E+00   0.22263723E-32
   0.19589789E-05   0.40229031E-06   0.99999764E+00   0.24413936E-32
   0.20046555E-05   0.41167032E-06   0.99999758E+00   0.26771815E-32
   0.20513971E-05   0.42126904E-06   0.99999753E+00   0.29357417E-32
   0.20992285E-05   0.43109157E-06   0.99999747E+00   0.32192733E-32
   0.21481752E-05   0.44114313E-06   0.99999741E+00   0.35301883E-32
   0.21982632E-05   0.45142905E-06   0.99999735E+00   0.38711311E-32
   0.22495190E-05   0.46195480E-06   0.99999729E+00   0.42450019E-32
   0.23019700E-05   0.47272597E-06   0.99999723E+00   0.46549809E-32
   0.23556439E-05   0.48374829E-06   0.99999716E+00   0.51045553E-32
   0.24105693E-05   0.49502762E-06   0.99999709E+00   0.55975493E-32
   0.24667753E-05   0.50656993E-06   0.99999703E+00   0.61381562E-32
   0.25242919E-05   0.51838137E-06   0.99999696E+00   0.67309746E-32
   0.25831496E-05   0.53046822E-06   0.99999689E+00   0.73810468E-32
   0.26433796E-05   0.54283688E-06   0.99999681E+00   0.80939025E-32
   0.27050140E-05   0.55549394E-06   0.99999674E+00   0.88756052E-32
   0.27680854E-05   0.56844611E-06   0.99999666E+00   0.97328041E-32
   0.28326275E-05   0.58170029E-06   0.99999659E+00   0.10672791E-31
   0.28986744E-05   0.59526350E-06   0.99999651E+00   0.11703560E-31
   0.29662614E-05   0.60914296E-06   0.99999642E+00   0.12833881E-31
   0.30354242E-05   0.62334604E-06   0.99999634E+00   0.14073367E-31
   0.31061996E-05   0.63788028E-06   0.99999626E+00   0.15432561E-31
   0.31786253E-05   0.65275341E-06   0.99999617E+00   0.16923025E-31
   0.32527397E-05   0.66797332E-06   0.99999608E+00   0.18557438E-31
   0.33285821E-05   0.68354811E-06   0.99999599E+00   0.20349700E-31
   0.34061929E-05   0.69948605E-06   0.99999589E+00   0.22315057E-31
   0.34856134E-05   0.71579560E-06   0.99999580E+00   0.24470227E-31
   0.35668856E-05   0.73248543E-06   0.99999570E+00   0.26833542E-31
   0.36500528E-05   0.74956441E-06   0.99999560E+00   0.29425104E-31
   0.37351592E-05   0.76704161E-06   0.99999550E+00   0.32266956E-31
   0.38222499E-05   0.78492632E-06   0.99999539E+00   0.35383272E-31
   0.39113713E-05   0.80322803E-06   0.99999529E+00   0.38800559E-31
   0.40025706E-05   0.82195646E-06   0.99999518E+00   0.42547885E-31
   0.40958964E-05   0.84112158E-06   0.99999506E+00   0.46657124E-31
   0.41913982E-05   0.86073356E-06   0.99999495E+00   0.51163230E-31
   0.42891268E-05   0.88080282E-06   0.99999483E+00   0.56104532E-31
   0.43891340E-05   0.90134002E-06   0.99999471E+00   0.61523061E-31
   0.44914730E-05   0.92235607E-06   0.99999459E+00   0.67464906E-31
   0.45961982E-05   0.94386214E-06   0.99999446E+00   0.73980610E-31
   0.47033652E-05   0.96586965E-06   0.99999433E+00   0.81125594E-31
   0.48130310E-05   0.98839029E-06   0.99999420E+00   0.88960634E-31
   0.49252537E-05   0.10114360E-05   0.99999406E+00   0.97552376E-31
   0.50400931E-05   0.10350191E-05   0.99999392E+00   0.10697390E-30
   0.51576101E-05   0.10591521E-05   0.99999378E+00   0.11730535E-30
   0.52778672E-05   0.10838477E-05   0.99999364E+00   0.12863460E-30
   0.54009282E-05   0.11091192E-05   0.99999349E+00   0.14105801E-30
   0.55268585E-05   0.11349799E-05   0.99999334E+00   0.15468127E-30
   0.56557250E-05   0.11614435E-05   0.99999318E+00   0.16962025E-30
   0.57875963E-05   0.11885242E-05   0.99999302E+00   0.18600203E-30
   0.59225422E-05   0.12162364E-05   0.99999286E+00   0.20396594E-30
   0.60606347E-05   0.12445946E-05   0.99999269E+00   0.22366479E-30
   0.62019469E-05   0.12736141E-05   0.99999252E+00   0.24526613E-30
   0.63465539E-05   0.13033102E-05   0.99999235E+00   0.26895372E-30
   0.64945327E-05   0.13336987E-05   0.99999217E+00   0.29492902E-30
   0.66459618E-05   0.13647957E-05   0.99999199E+00   0.32341300E-30
   0.68009216E-05   0.13966178E-05   0.99999180E+00   0.35464793E-30
   0.69594945E-05   0.14291819E-05   0.99999161E+00   0.38889950E-30
   0.71217647E-05   0.14625052E-05   0.99999142E+00   0.42645906E-30
   0.72878184E-05   0.14966056E-05   0.99999122E+00   0.46764608E-30
   0.74577439E-05   0.15315010E-05   0.99999101E+00   0.51281090E-30
   0.76316313E-05   0.15672100E-05   0.99999080E+00   0.56233770E-30
   0.78095732E-05   0.16037516E-05   0.99999059E+00   0.61664774E-30
   0.79916640E-05   0.16411453E-05   0.99999037E+00   0.67620299E-30
   0.81780004E-05   0.16794108E-05   0.99999014E+00   0.74151003E-30
   0.83686814E-05   0.17185685E-05   0.99998991E+00   0.81312436E-30
   0.85638084E-05   0.17586392E-05   0.99998968E+00   0.89165512E-30
   0.87634850E-05   0.17996443E-05   0.99998944E+00   0.97777031E-30
   0.89678173E-05   0.18416053E-05   0.99998919E+00   0.10722024E-29
   0.91769138E-05   0.18845448E-05   0.99998894E+00   0.11757547E-29
   0.93908856E-05   0.19284854E-05   0.99998868E+00   0.12893079E-29
   0.96098464E-05   0.19734506E-05   0.99998842E+00   0.14138279E-29
   0.98339125E-05   0.20194642E-05   0.99998815E+00   0.15503740E-29
   0.10063203E-04   0.20665506E-05   0.99998787E+00   0.17001076E-29
   0.10297839E-04   0.21147349E-05   0.99998759E+00   0.18643022E-29
   0.10537947E-04   0.21640426E-05   0.99998730E+00   0.20443546E-29
   0.10783652E-04   0.22145001E-05   0.99998700E+00   0.22417963E-29
   0.11035087E-04   0.22661339E-05   0.99998670E+00   0.24583067E-29
   0.11292384E-04   0.23189717E-05   0.99998639E+00   0.26957273E-29
   0.11555680E-04   0.23730414E-05   0.99998607E+00   0.29560778E-29
   0.11825115E-04   0.24283719E-05   0.99998575E+00   0.32415727E-29
   0.12100832E-04   0.24849924E-05   0.99998541E+00   0.35546403E-29
   0.12382978E-04   0.25429330E-05   0.99998507E+00   0.38979436E-29
   0.12671702E-04   0.26022246E-05   0.99998473E+00   0.42744027E-29
   0.12967159E-04   0.26628986E-05   0.99998437E+00   0.46872199E-29
   0.13269503E-04   0.27249873E-05   0.99998401E+00   0.51399064E-29
   0.13578898E-04   0.27885237E-05   0.99998363E+00   0.56363128E-29
   0.13895506E-04   0.28535414E-05   0.99998325E+00   0.61806615E-29
   0.14219496E-04   0.29200751E-05   0.99998286E+00   0.67775828E-29
   0.14551040E-04   0.29881600E-05   0.99998246E+00   0.74321539E-29
